y,ux
-1.000000000000000000e+00,0.000000000000000000e+00
-9.875000000000000444e-01,1.233128162250000113e-04
-9.749999999999999778e-01,2.408020709559999489e-04
-9.625000000000000222e-01,3.551502644724999842e-04
-9.499999999999999556e-01,4.640937133339999993e-04
-9.375000000000000000e-01,5.701219023149999921e-04
-9.250000000000000444e-01,6.711336967040001282e-04
-9.124999999999999778e-01,7.694396032200000093e-04
-9.000000000000000222e-01,8.630891827419998530e-04
-8.874999999999999556e-01,9.542269917999999509e-04
-8.750000000000000000e-01,1.041042293380000251e-03
-8.625000000000000444e-01,1.125525781775000038e-03
-8.499999999999999778e-01,1.205996214779999753e-03
-8.375000000000000222e-01,1.284301646525000049e-03
-8.249999999999999556e-01,1.358880852280000074e-03
-8.125000000000000000e-01,1.431449663250000063e-03
-8.000000000000000444e-01,1.500558072080000098e-03
-7.874999999999999778e-01,1.567799359025000196e-03
-7.750000000000000222e-01,1.631826560199999953e-03
-7.624999999999999556e-01,1.694119386650000001e-03
-7.500000000000000000e-01,1.753426325000000206e-03
-7.375000000000000444e-01,1.811121858049999931e-03
-7.249999999999999778e-01,1.866042868980000201e-03
-7.125000000000000222e-01,1.919466359049999899e-03
-6.999999999999999556e-01,1.970311052819999874e-03
-6.875000000000000000e-01,2.019763667499999658e-03
-6.750000000000000444e-01,2.066818674700000077e-03
-6.624999999999999778e-01,2.112579196749999819e-03
-6.500000000000000222e-01,2.156109784040000261e-03
-6.374999999999999556e-01,2.198436182649999952e-03
-6.250000000000000000e-01,2.238687748660000369e-03
-6.125000000000000444e-01,2.277818633599999754e-03
-5.999999999999999778e-01,2.315018091940000168e-03
-5.875000000000000222e-01,2.351174058825000138e-03
-5.749999999999999556e-01,2.385531117420000135e-03
-5.625000000000000000e-01,2.418915991300000200e-03
-5.500000000000000444e-01,2.450624334340000335e-03
-5.374999999999999778e-01,2.481426318650000167e-03
-5.250000000000000222e-01,2.510664698579999961e-03
-5.124999999999999556e-01,2.539057435875000102e-03
-5.000000000000000000e-01,2.565990681120000009e-03
-4.874999999999999889e-01,2.592134232224999925e-03
-4.749999999999999778e-01,2.616914176120000227e-03
-4.625000000000000222e-01,2.640955922399999649e-03
-4.500000000000000111e-01,2.663722259120000074e-03
-4.375000000000000000e-01,2.685797733374999802e-03
-4.249999999999999889e-01,2.706678805840000319e-03
-4.124999999999999778e-01,2.726912456000000085e-03
-4.000000000000000222e-01,2.746025979259999941e-03
-3.875000000000000111e-01,2.764531870149999990e-03
-3.750000000000000000e-01,2.781985594980000004e-03
-3.624999999999999889e-01,2.798868051450000005e-03
-3.499999999999999778e-01,2.814760371740000246e-03
-3.375000000000000222e-01,2.830114566924999894e-03
-3.250000000000000111e-01,2.844535074100000040e-03
-3.125000000000000000e-01,2.858447565849999740e-03
-2.999999999999999889e-01,2.871477554360000062e-03
-2.874999999999999778e-01,2.884026772999999984e-03
-2.750000000000000222e-01,2.895739698259999773e-03
-2.625000000000000111e-01,2.906996388850000175e-03
-2.500000000000000000e-01,2.917458281599999773e-03
-2.374999999999999889e-01,2.927485902775000225e-03
-2.250000000000000056e-01,2.936755741000000169e-03
-2.124999999999999944e-01,2.945610822599999817e-03
-2.000000000000000111e-01,2.953740864300000331e-03
-1.875000000000000000e-01,2.961473325924999719e-03
-1.749999999999999889e-01,2.968509403760000078e-03
-1.625000000000000056e-01,2.975162836300000117e-03
-1.499999999999999944e-01,2.981144615699999906e-03
-1.375000000000000111e-01,2.986756527150000000e-03
-1.250000000000000000e-01,2.991717729959999638e-03
-1.125000000000000028e-01,2.996319756999999903e-03
-1.000000000000000056e-01,3.000288351639999931e-03
-8.749999999999999445e-02,3.003906437800000009e-03
-7.499999999999999722e-02,3.006904796960000077e-03
-6.250000000000000000e-02,3.009559338750000031e-03
-5.000000000000000278e-02,3.011604365539999936e-03
-3.749999999999999861e-02,3.013310327699999895e-03
-2.500000000000000139e-02,3.014413550859999617e-03
-1.250000000000000069e-02,3.015180550599999738e-03
0.000000000000000000e+00,3.015348189579999862e-03
1.250000000000000069e-02,3.015180550600000172e-03
2.500000000000000139e-02,3.014413550579999636e-03
3.749999999999999861e-02,3.013310327724999862e-03
5.000000000000000278e-02,3.011604364920000224e-03
6.250000000000000000e-02,3.009559338749999598e-03
7.499999999999999722e-02,3.006904796019999829e-03
8.749999999999999445e-02,3.003906437800000009e-03
1.000000000000000056e-01,3.000288350420000135e-03
1.125000000000000028e-01,2.996319757049999838e-03
1.250000000000000000e-01,2.991717728460000295e-03
1.375000000000000111e-01,2.986756527150000000e-03
1.499999999999999944e-01,2.981144613939999775e-03
1.625000000000000056e-01,2.975162836275000149e-03
1.749999999999999889e-01,2.968509401799999774e-03
1.875000000000000000e-01,2.961473325949999687e-03
2.000000000000000111e-01,2.953740862099999732e-03
2.124999999999999944e-01,2.945610822600000251e-03
2.250000000000000056e-01,2.936755738639999953e-03
2.374999999999999889e-01,2.927485902799999758e-03
2.500000000000000000e-01,2.917458279059999878e-03
2.625000000000000111e-01,2.906996388850000175e-03
2.750000000000000222e-01,2.895739695640000069e-03
2.874999999999999778e-01,2.884026772975000017e-03
2.999999999999999889e-01,2.871477551619999995e-03
3.125000000000000000e-01,2.858447565849999740e-03
3.250000000000000111e-01,2.844535071300000224e-03
3.375000000000000222e-01,2.830114566924999894e-03
3.499999999999999778e-01,2.814760368919999936e-03
3.624999999999999889e-01,2.798868051450000005e-03
3.750000000000000000e-01,2.781985592179999755e-03
3.875000000000000111e-01,2.764531870125000023e-03
4.000000000000000222e-01,2.746025976460000125e-03
4.124999999999999778e-01,2.726912456000000085e-03
4.249999999999999889e-01,2.706678803080000192e-03
4.375000000000000000e-01,2.685797733399999769e-03
4.500000000000000111e-01,2.663722256440000189e-03
4.625000000000000222e-01,2.640955922400000083e-03
4.749999999999999778e-01,2.616914173500000090e-03
4.874999999999999889e-01,2.592134232199999958e-03
5.000000000000000000e-01,2.565990678580000114e-03
5.124999999999999556e-01,2.539057435875000102e-03
5.250000000000000222e-01,2.510664696139999937e-03
5.374999999999999778e-01,2.481426318599999799e-03
5.500000000000000444e-01,2.450624332019999806e-03
5.625000000000000000e-01,2.418915991300000200e-03
5.749999999999999556e-01,2.385531115199999910e-03
5.875000000000000222e-01,2.351174058799999737e-03
5.999999999999999778e-01,2.315018089839999873e-03
6.125000000000000444e-01,2.277818633575000220e-03
6.250000000000000000e-01,2.238687746700000064e-03
6.374999999999999556e-01,2.198436182649999952e-03
6.500000000000000222e-01,2.156109782239999575e-03
6.624999999999999778e-01,2.112579196749999819e-03
6.750000000000000444e-01,2.066818673020000188e-03
6.875000000000000000e-01,2.019763667499999658e-03
6.999999999999999556e-01,1.970311051300000036e-03
7.125000000000000222e-01,1.919466359050000116e-03
7.249999999999999778e-01,1.866042867620000198e-03
7.375000000000000444e-01,1.811121858050000148e-03
7.500000000000000000e-01,1.753426323819999881e-03
7.624999999999999556e-01,1.694119386649999785e-03
7.750000000000000222e-01,1.631826559139999992e-03
7.874999999999999778e-01,1.567799359050000164e-03
8.000000000000000444e-01,1.500558071140000067e-03
8.125000000000000000e-01,1.431449663250000063e-03
8.249999999999999556e-01,1.358880851520000155e-03
8.375000000000000222e-01,1.284301646500000081e-03
8.499999999999999778e-01,1.205996214179999885e-03
8.625000000000000444e-01,1.125525781800000005e-03
8.750000000000000000e-01,1.041042292940000001e-03
8.874999999999999556e-01,9.542269917999999509e-04
9.000000000000000222e-01,8.630891823940001206e-04
9.124999999999999778e-01,7.694396032200000093e-04
9.250000000000000444e-01,6.711336964700000260e-04
9.375000000000000000e-01,5.701219023150001005e-04
9.499999999999999556e-01,4.640937131959999820e-04
9.625000000000000222e-01,3.551502644749999918e-04
9.749999999999999778e-01,2.408020708980000116e-04
9.875000000000000444e-01,1.233128162249999841e-04
1.000000000000000000e+00,0.000000000000000000e+00
