y,ux
-1.000000000000000000e+00,0.000000000000000000e+00
-9.988010000000000499e-01,1.195179308375000031e-05
-9.976019999999999888e-01,2.371279306880000234e-05
-9.962119999999999864e-01,3.722616499450000200e-05
-9.948230000000000128e-01,5.049014679459999384e-05
-9.932450000000000445e-01,6.540200268074998534e-05
-9.916669999999999652e-01,8.000214709340001192e-05
-9.899029999999999774e-01,9.614034876074998659e-05
-9.881400000000000183e-01,1.119023593920000063e-04
-9.861929999999999863e-01,1.290889039749999929e-04
-9.842459999999999543e-01,1.458339935339999962e-04
-9.821180000000000465e-01,1.638879437074999878e-04
-9.799900000000000277e-01,1.814361338580000040e-04
-9.776829999999999687e-01,2.001768754700000046e-04
-9.753770000000000495e-01,2.183497091839999970e-04
-9.728940000000000365e-01,2.375995508974999945e-04
-9.704120000000000523e-01,2.562224650399999581e-04
-9.677550000000000319e-01,2.758088755274999996e-04
-9.650990000000000402e-01,2.947138262160000168e-04
-9.622720000000000162e-01,3.144719485199999891e-04
-9.594439999999999635e-01,3.334995408380000493e-04
-9.564470000000000471e-01,3.532741792199999985e-04
-9.534510000000000485e-01,3.722752522939999642e-04
-9.502880000000000216e-01,3.919222933800000416e-04
-9.471249999999999947e-01,4.107593238019999313e-04
-9.437980000000000258e-01,4.301469841799999863e-04
-9.404709999999999459e-01,4.486951779699999967e-04
-9.369819999999999816e-01,4.677049430325000098e-04
-9.334940000000000460e-01,4.858529347019999861e-04
-9.298459999999999503e-01,5.043801063700000670e-04
-9.261979999999999658e-01,5.220304023679999631e-04
-9.223930000000000184e-01,5.399844004424999861e-04
-9.185879999999999601e-01,5.570535147599999870e-04
-9.146290000000000253e-01,5.743578786599999597e-04
-9.106699999999999795e-01,5.907760611739999983e-04
-9.065590000000000037e-01,6.073680533825000834e-04
-9.024480000000000279e-01,6.230790862520000240e-04
-8.981869999999999576e-01,6.389093918599999655e-04
-8.939259999999999984e-01,6.538700027560000443e-04
-8.895180000000000309e-01,6.689020470275000314e-04
-8.851099999999999524e-01,6.830807920760000301e-04
-8.805579999999999519e-01,6.972895302749999337e-04
-8.760050000000000336e-01,7.106663777800000881e-04
-8.713100000000000289e-01,7.240378355550000471e-04
-8.666150000000000242e-01,7.366032756179999481e-04
-8.617799999999999905e-01,7.491336120999999432e-04
-8.569449999999999568e-01,7.608870201020000558e-04
-8.519719999999999516e-01,7.725808368800000112e-04
-8.469999999999999751e-01,7.835299825080001279e-04
-8.418919999999999737e-01,7.943998267850000501e-04
-8.367850000000000010e-01,8.045597582699998964e-04
-8.315449999999999786e-01,8.146249950025000013e-04
-8.263040000000000385e-01,8.240163542560000835e-04
