y,ux
-1.000000000000000000e+00,0.000000000000000000e+00
-9.994239999999999791e-01,5.733387749725000438e-06
-9.988489999999999869e-01,1.138558783440000073e-05
-9.982250000000000290e-01,1.744721927575000039e-05
-9.976019999999999888e-01,2.342745420659999903e-05
-9.969310000000000116e-01,2.978351651825000130e-05
-9.962600000000000344e-01,3.605828619460000055e-05
-9.955410000000000093e-01,4.267431651075000089e-05
-9.948230000000000128e-01,4.920961263520000562e-05
-9.940569999999999684e-01,5.605077104250000291e-05
-9.932919999999999527e-01,6.281238417360000370e-05
-9.924790000000000001e-01,6.984377943525000047e-05
-9.916669999999999652e-01,7.679744071939999706e-05
-9.908080000000000220e-01,8.398444410775000629e-05
-9.899489999999999679e-01,9.109627341879999432e-05
-9.890449999999999520e-01,9.840469957350000182e-05
-9.881400000000000183e-01,1.056411527959999876e-04
-9.871889999999999832e-01,1.130377559100000085e-04
-9.862379999999999480e-01,1.203661819880000067e-04
-9.852419999999999511e-01,1.278185045775000097e-04
-9.842459999999999543e-01,1.352072360259999953e-04
-9.832039999999999669e-01,1.426841173175000255e-04
-9.821630000000000082e-01,1.501024818220000163e-04
-9.810759999999999481e-01,1.575741891999999657e-04
-9.799900000000000277e-01,1.649930332399999968e-04
-9.788590000000000346e-01,1.724311517924999998e-04
-9.777280000000000415e-01,1.798226941580000158e-04
-9.765519999999999756e-01,1.872006969900000001e-04
-9.753770000000000495e-01,1.945385771620000096e-04
-9.741579999999999684e-01,2.018317313424999870e-04
-9.729379999999999695e-01,2.090916995379999625e-04
-9.716749999999999554e-01,2.162768332425000096e-04
-9.704120000000000523e-01,2.234362141859999975e-04
-9.691049999999999942e-01,2.304924355074999918e-04
-9.677989999999999648e-01,2.375303747319999716e-04
-9.664490000000000025e-01,2.444386550074999871e-04
-9.650990000000000402e-01,2.513363637180000072e-04
-9.637069999999999803e-01,2.580794533550000050e-04
-9.623140000000000027e-01,2.648202140880000157e-04
-9.608790000000000386e-01,2.713827496474999711e-04
-9.594439999999999635e-01,2.779517760959999344e-04
-9.579670000000000130e-01,2.843204085324999996e-04
-9.564890000000000336e-01,2.907048020340000051e-04
-9.549699999999999855e-01,2.968680461550000059e-04
-9.534510000000000485e-01,3.030568082359999982e-04
-9.518900000000000139e-01,3.090050432349999987e-04
-9.503289999999999793e-01,3.149890750799999996e-04
-9.487269999999999870e-01,3.207144894525000068e-04
-9.471249999999999947e-01,3.264864690099999632e-04
-9.454820000000000446e-01,3.319829247425000029e-04
-9.438389999999999835e-01,3.375372866619999685e-04
-9.421549999999999647e-01,3.428003042325000163e-04
-9.404709999999999459e-01,3.481330525699999844e-04
-9.387469999999999981e-01,3.531597360100000417e-04
-9.370220000000000216e-01,3.582682954299999819e-04
-9.352580000000000338e-01,3.630571565999999662e-04
-9.334940000000000460e-01,3.679403822279999877e-04
-9.316889999999999894e-01,3.724913974924999832e-04
-9.298849999999999616e-01,3.771493521100000284e-04
-9.280410000000000048e-01,3.814638093475000062e-04
-9.261979999999999658e-01,3.858977186619999816e-04
-9.243149999999999977e-01,3.899780880775000178e-04
-9.224320000000000297e-01,3.941901868159999986e-04
-9.205100000000000504e-01,3.980402087699999895e-04
-9.185879999999999601e-01,4.020336025319999791e-04
-9.166279999999999983e-01,4.056578725700000013e-04
-9.146670000000000078e-01,4.094363328259999972e-04
-9.126689999999999525e-01,4.128404298325000351e-04
-9.106699999999999795e-01,4.164086920440000154e-04
-9.086330000000000240e-01,4.195989452649999309e-04
-9.065959999999999575e-01,4.229620642480000749e-04
-9.045220000000000482e-01,4.259455191300000028e-04
-9.024480000000000279e-01,4.291093019379999397e-04
-9.003360000000000252e-01,4.318933848849999899e-04
-8.982240000000000224e-01,4.348640731360000527e-04
-8.960749999999999549e-01,4.374567967649999728e-04
-8.939259999999999984e-01,4.402408858239999809e-04
-8.917399999999999771e-01,4.426503482700000231e-04
-8.895549999999999846e-01,4.452548526980000076e-04
-8.873320000000000096e-01,4.474894644075000025e-04
-8.851099999999999524e-01,4.499216277499999759e-04
-8.828519999999999701e-01,4.519900502550000185e-04
-8.805939999999999879e-01,4.542572285600000393e-04
-8.782990000000000519e-01,4.561680054174999588e-04
-8.760050000000000336e-01,4.582777768359999225e-04
-8.736749999999999794e-01,4.600394979974999857e-04
-8.713450000000000362e-01,4.619995518219999794e-04
-8.689799999999999747e-01,4.636205883450000343e-04
-8.666150000000000242e-01,4.654385644220000078e-04
-8.642149999999999554e-01,4.669270520199999717e-04
-8.618149999999999977e-01,4.686108107739999674e-04
-8.593800000000000328e-01,4.699747590849999998e-04
-8.569449999999999568e-01,4.715317281280000279e-04
-8.544760000000000133e-01,4.727791598999999735e-04
-8.520069999999999588e-01,4.742166692419999942e-04
-8.495030000000000081e-01,4.753551392000000017e-04
-8.469999999999999751e-01,4.766806048160000678e-04
-8.444629999999999637e-01,4.777174334199999839e-04
-8.419259999999999522e-01,4.789378793980000296e-04
-8.393549999999999622e-01,4.798801755874999636e-04
-8.367850000000000010e-01,4.810024357539999544e-04
-8.341809999999999503e-01,4.818570256424999825e-04
-8.315770000000000106e-01,4.828877215679999442e-04
-8.289410000000000389e-01,4.836612752025000331e-04
-8.263040000000000385e-01,4.846064810220000111e-04
-8.236350000000000060e-01,4.853052179000000212e-04
-8.209659999999999735e-01,4.861707969520000683e-04
-8.182639999999999914e-01,4.868005929674999862e-04
-8.155630000000000379e-01,4.875922793039999753e-04
-8.128300000000000525e-01,4.881588408850000152e-04
-8.100960000000000383e-01,4.888819604919999919e-04
-8.073310000000000208e-01,4.893905624200000325e-04
-8.045660000000000034e-01,4.900502943200000247e-04
-8.017699999999999827e-01,4.905059861550000204e-04
-7.989730000000000443e-01,4.911071848020000501e-04
-7.961460000000000203e-01,4.915147218725000053e-04
-7.933179999999999676e-01,4.920616769420000855e-04
-7.904600000000000515e-01,4.924253167600000682e-04
-7.876020000000000243e-01,4.929222537659999886e-04
-7.847129999999999939e-01,4.932461988549999852e-04
-7.818239999999999634e-01,4.936970763080000390e-04
-7.789059999999999873e-01,4.939852837425000439e-04
-7.759869999999999823e-01,4.943936236879999894e-04
-7.730380000000000029e-01,4.946496785899999471e-04
-7.700890000000000235e-01,4.950188836140000668e-04
-7.671109999999999873e-01,4.952462901450000073e-04
-7.641329999999999512e-01,4.955793819999999980e-04
-7.611250000000000515e-01,4.957811303549999491e-04
-7.581179999999999586e-01,4.960810240880001451e-04
-7.550810000000000022e-01,4.962597504224999442e-04
-7.520449999999999635e-01,4.965294671740000084e-04
-7.489799999999999791e-01,4.966877079225000225e-04
