y,u_analytic_norm,u_mhdfoam_norm,u_mug_norm
-9.990280e-01,1.925290e-02,1.944014e-02,
-9.969814e-01,5.858495e-02,5.881043e-02,
-9.947190e-01,1.002330e-01,1.005037e-01,
-9.922177e-01,1.441386e-01,1.444561e-01,
-9.894527e-01,1.901829e-01,1.905591e-01,
-9.863958e-01,2.382101e-01,2.386503e-01,
-9.830164e-01,2.879966e-01,2.885082e-01,
-9.792804e-01,3.392587e-01,3.398487e-01,
-9.751502e-01,3.916450e-01,3.923220e-01,
-9.705842e-01,4.447383e-01,4.455081e-01,
-9.655366e-01,4.980567e-01,4.989251e-01,
-9.599563e-01,5.510632e-01,5.520342e-01,
-9.537873e-01,6.031729e-01,6.042462e-01,
-9.469671e-01,6.537719e-01,6.549433e-01,
-9.394275e-01,7.022348e-01,7.034983e-01,
-9.310925e-01,7.479556e-01,7.493010e-01,
-9.218780e-01,7.903759e-01,7.917851e-01,
-9.116912e-01,8.290145e-01,8.304648e-01,
-9.004295e-01,8.634971e-01,8.649611e-01,
-8.879797e-01,8.935846e-01,8.950306e-01,
-8.742163e-01,9.191915e-01,9.205868e-01,
-8.590007e-01,9.403932e-01,9.417029e-01,
-8.421797e-01,9.574215e-01,9.586117e-01,
-8.235838e-01,9.706459e-01,9.716982e-01,
-8.030257e-01,9.805418e-01,9.814394e-01,
-7.802987e-01,9.876491e-01,9.883770e-01,
-7.551736e-01,9.925275e-01,9.931004e-01,
-7.273976e-01,9.957125e-01,9.961320e-01,
-6.966909e-01,9.976800e-01,9.979757e-01,
-6.627442e-01,9.988234e-01,9.990212e-01,
-6.252158e-01,9.994445e-01,9.995628e-01,
-5.837277e-01,9.997577e-01,9.998289e-01,
-5.378621e-01,9.999032e-01,9.999430e-01,
-4.871571e-01,9.999649e-01,9.999810e-01,
-4.311022e-01,9.999886e-01,1.000000e+00,
-3.691328e-01,9.999967e-01,1.000000e+00,
-3.006250e-01,9.999992e-01,1.000000e+00,
-2.248887e-01,9.999998e-01,1.000000e+00,
-1.411615e-01,1.000000e+00,1.000000e+00,
-4.859997e-02,1.000000e+00,1.000000e+00,
4.859997e-02,1.000000e+00,1.000000e+00,
1.411615e-01,1.000000e+00,1.000000e+00,
2.248887e-01,9.999998e-01,1.000000e+00,
3.006250e-01,9.999992e-01,1.000000e+00,
3.691328e-01,9.999967e-01,1.000000e+00,
4.311022e-01,9.999886e-01,1.000000e+00,
4.871571e-01,9.999649e-01,9.999810e-01,
5.378621e-01,9.999032e-01,9.999430e-01,
5.837277e-01,9.997577e-01,9.998289e-01,
6.252158e-01,9.994445e-01,9.995628e-01,
6.627442e-01,9.988234e-01,9.990212e-01,
6.966908e-01,9.976800e-01,9.979757e-01,
7.273976e-01,9.957125e-01,9.961320e-01,
7.551737e-01,9.925275e-01,9.931004e-01,
7.802987e-01,9.876491e-01,9.883770e-01,
8.030258e-01,9.805418e-01,9.814394e-01,
8.235838e-01,9.706459e-01,9.716982e-01,
8.421797e-01,9.574215e-01,9.586117e-01,
8.590007e-01,9.403932e-01,9.417029e-01,
8.742163e-01,9.191915e-01,9.205868e-01,
8.879797e-01,8.935846e-01,8.950306e-01,
9.004295e-01,8.634971e-01,8.649611e-01,
9.116912e-01,8.290145e-01,8.304648e-01,
9.218780e-01,7.903759e-01,7.917851e-01,
9.310925e-01,7.479556e-01,7.493010e-01,
9.394275e-01,7.022348e-01,7.034983e-01,
9.469672e-01,6.537711e-01,6.549433e-01,
9.537873e-01,6.031729e-01,6.042462e-01,
9.599563e-01,5.510632e-01,5.520342e-01,
9.655366e-01,4.980567e-01,4.989251e-01,
9.705842e-01,4.447383e-01,4.455081e-01,
9.751502e-01,3.916450e-01,3.923220e-01,
9.792804e-01,3.392587e-01,3.398487e-01,
9.830164e-01,2.879966e-01,2.885082e-01,
9.863958e-01,2.382101e-01,2.386503e-01,
9.894526e-01,1.901838e-01,1.905591e-01,
9.922178e-01,1.441365e-01,1.444561e-01,
9.947189e-01,1.002351e-01,1.005037e-01,
9.969814e-01,5.858495e-02,5.881043e-02,
9.990280e-01,1.925290e-02,1.944014e-02,
