side,offset,probe_radius,regularization,max_feedback,rms_feedback,max_delta_b,classification
inboard,0.05,0.95,0.01,0.002047383899599113,0.0019296722733760183,0.010236919497995564,two-way-candidate
inboard,0.1,0.9,0.01,0.0019793877246842575,0.0018580570671009225,0.009896938623421288,two-way-candidate
inboard,0.2,0.8,0.01,0.0018578922601801503,0.0017403031000490982,0.009289461300900751,two-way-candidate
inboard,0.35,0.65,0.01,0.0017149103657314126,0.001611825849542723,0.008574551828657063,two-way-candidate
inboard,0.5,0.5,0.01,0.0016131547426915156,0.0015238558245887434,0.008065773713457578,two-way-candidate
inboard,0.05,0.95,0.02,0.0020388062964289593,0.0019215520987045796,0.010194031482144796,two-way-candidate
inboard,0.1,0.9,0.02,0.00197516000224002,0.001854144512893751,0.0098758000112001,two-way-candidate
inboard,0.2,0.8,0.02,0.0018559469110131072,0.0017385484732409778,0.009279734555065536,two-way-candidate
inboard,0.35,0.65,0.02,0.0017139235169762019,0.0016109413563594865,0.00856961758488101,two-way-candidate
inboard,0.5,0.5,0.02,0.001612517873993892,0.001523280365768842,0.00806258936996946,two-way-candidate
inboard,0.05,0.95,0.03,0.00202554541375417,0.0019090197820488303,0.01012772706877085,two-way-candidate
inboard,0.1,0.9,0.03,0.001968268893289376,0.001847771160054936,0.009841344466446881,two-way-candidate
inboard,0.2,0.8,0.03,0.0018527257437958155,0.0017356433417273867,0.009263628718979077,two-way-candidate
inboard,0.35,0.65,0.03,0.0017122829102835858,0.0016094708584276692,0.008561414551417929,two-way-candidate
inboard,0.5,0.5,0.03,0.0016114579111439116,0.0015223225725409391,0.008057289555719558,two-way-candidate
inboard,0.05,0.95,0.05,0.0019892149949536416,0.0018748105376150165,0.009946074974768208,two-way-candidate
inboard,0.1,0.9,0.05,0.0019473841611530515,0.0018284848162518183,0.009736920805765258,two-way-candidate
inboard,0.2,0.8,0.05,0.0018425898839137859,0.0017265037394436661,0.00921294941956893,two-way-candidate
inboard,0.35,0.65,0.05,0.0017070673965969862,0.0016047956676451946,0.00853533698298493,two-way-candidate
inboard,0.5,0.5,0.05,0.001608078437311484,0.0015192685365427885,0.008040392186557421,two-way-candidate
inboard,0.05,0.95,0.1,0.001873772489728092,0.0017671235163557245,0.00936886244864046,two-way-candidate
inboard,0.1,0.9,0.1,0.0018661975223292465,0.0017538691765659011,0.009330987611646233,two-way-candidate
inboard,0.2,0.8,0.1,0.0017982019207026672,0.0016865057340191693,0.008991009603513336,two-way-candidate
inboard,0.35,0.65,0.1,0.0016832912631469178,0.0015834735913635642,0.008416456315734589,two-way-candidate
inboard,0.5,0.5,0.1,0.0015924839054308397,0.001505169599431854,0.007962419527154199,two-way-candidate
outboard,0.05,2.05,0.01,0.0005597787583789931,0.0005461860294618839,0.0027988937918949656,weak-feedback
outboard,0.1,2.1,0.01,0.0004970804838086473,0.0004916246828860733,0.0024854024190432366,weak-feedback
outboard,0.2,2.2,0.01,0.00040550514776957984,0.0004025701461380294,0.002027525738847899,weak-feedback
outboard,0.35,2.35,0.01,0.00030954912760287,0.00030607201987140477,0.00154774563801435,weak-feedback
outboard,0.5,2.5,0.01,0.00024175065575574866,0.00023879434296550129,0.0012087532787787433,weak-feedback
outboard,0.05,2.05,0.02,0.000556524591375805,0.0005424886393491175,0.002782622956879025,weak-feedback
outboard,0.1,2.1,0.02,0.0004955677915492321,0.0004898969306644425,0.0024778389577461606,weak-feedback
outboard,0.2,2.2,0.02,0.0004047413380760378,0.0004018623612890114,0.002023706690380189,weak-feedback
outboard,0.35,2.35,0.02,0.0003092101729859058,0.0003057723579336292,0.001546050864929529,weak-feedback
outboard,0.5,2.5,0.02,0.0002415747203847675,0.00023863627890373197,0.0012078736019238375,weak-feedback
outboard,0.05,2.05,0.03,0.0005515038115680835,0.0005367843573590626,0.0027575190578404177,weak-feedback
outboard,0.1,2.1,0.03,0.0004931050219793779,0.000487083788687177,0.00246552510989689,weak-feedback
outboard,0.2,2.2,0.03,0.0004034772682989074,0.00040069090982061174,0.002017386341494537,weak-feedback
outboard,0.35,2.35,0.03,0.0003086468177308069,0.0003052742869942575,0.0015432340886540345,weak-feedback
outboard,0.5,2.5,0.03,0.00024128195841592836,0.00023837324517812908,0.0012064097920796418,weak-feedback
outboard,0.05,2.05,0.05,0.0005378045701573571,0.0005212275362499336,0.0026890228507867858,weak-feedback
outboard,0.1,2.1,0.05,0.00048566205504285584,0.00047858092028928536,0.0024283102752142792,weak-feedback
outboard,0.2,2.2,0.05,0.0003995051395030802,0.0003970089949790367,0.001997525697515401,weak-feedback
outboard,0.35,2.35,0.05,0.00030685712302475825,0.00030369181074737167,0.0015342856151237913,weak-feedback
outboard,0.5,2.5,0.05,0.00024034899326980788,0.00023753493227210597,0.0012017449663490394,weak-feedback
outboard,0.05,2.05,0.1,0.0004946863279389573,0.00047243769379456713,0.0024734316396947866,weak-feedback
outboard,0.1,2.1,0.1,0.0004569861894080314,0.0004458410786343588,0.002284930947040157,weak-feedback
outboard,0.2,2.2,0.1,0.0003822076152891117,0.000380960075078845,0.0019110380764455583,weak-feedback
outboard,0.35,2.35,0.1,0.00029872215074351697,0.0002964952086054056,0.001493610753717585,weak-feedback
outboard,0.5,2.5,0.1,0.00023605268973934997,0.00023367283242771553,0.0011802634486967499,weak-feedback
