material,B_T,U_m_s,Ha,Re,Rm,N,feedback_sheet_upper,classification
PbLi,5.00000000e-01,1.00000000e-04,5.40738070e+02,2.77777778e+01,5.02654825e-06,1.05263158e+04,2.51327412e-08,drag-important
PbLi,5.19324412e-01,1.00000000e-04,5.61636961e+02,2.77777778e+01,5.02654825e-06,1.13556988e+04,2.61040921e-08,drag-important
PbLi,5.39395691e-01,1.00000000e-04,5.83343570e+02,2.77777778e+01,5.02654825e-06,1.22504299e+04,2.71129846e-08,drag-important
PbLi,5.60242700e-01,1.00000000e-04,6.05889114e+02,2.77777778e+01,5.02654825e-06,1.32156582e+04,2.81608696e-08,drag-important
PbLi,5.81895423e-01,1.00000000e-04,6.29306016e+02,2.77777778e+01,5.02654825e-06,1.42569382e+04,2.92492542e-08,drag-important
PbLi,6.04384997e-01,1.00000000e-04,6.53627954e+02,2.77777778e+01,5.02654825e-06,1.53802621e+04,3.03797035e-08,drag-important
PbLi,6.27743767e-01,1.00000000e-04,6.78889906e+02,2.77777778e+01,5.02654825e-06,1.65920942e+04,3.15538433e-08,drag-important
PbLi,6.52005326e-01,1.00000000e-04,7.05128204e+02,2.77777778e+01,5.02654825e-06,1.78994082e+04,3.27733623e-08,drag-important
PbLi,6.77204565e-01,1.00000000e-04,7.32380580e+02,2.77777778e+01,5.02654825e-06,1.93097273e+04,3.40400142e-08,drag-important
PbLi,7.03377726e-01,1.00000000e-04,7.60686229e+02,2.77777778e+01,5.02654825e-06,2.08311674e+04,3.53556208e-08,drag-important
PbLi,7.30562449e-01,1.00000000e-04,7.90085858e+02,2.77777778e+01,5.02654825e-06,2.24724839e+04,3.67220740e-08,drag-important
PbLi,7.58797829e-01,1.00000000e-04,8.20621748e+02,2.77777778e+01,5.02654825e-06,2.42431219e+04,3.81413390e-08,drag-important
PbLi,7.88124474e-01,1.00000000e-04,8.52337814e+02,2.77777778e+01,5.02654825e-06,2.61532710e+04,3.96154569e-08,drag-important
PbLi,8.18584558e-01,1.00000000e-04,8.85279669e+02,2.77777778e+01,5.02654825e-06,2.82139233e+04,4.11465478e-08,drag-important
PbLi,8.50221890e-01,1.00000000e-04,9.19494688e+02,2.77777778e+01,5.02654825e-06,3.04369373e+04,4.27368135e-08,drag-important
PbLi,8.83081967e-01,1.00000000e-04,9.55032077e+02,2.77777778e+01,5.02654825e-06,3.28351057e+04,4.43885411e-08,drag-important
PbLi,9.17212047e-01,1.00000000e-04,9.91942945e+02,2.77777778e+01,5.02654825e-06,3.54222290e+04,4.61041061e-08,drag-important
PbLi,9.52661215e-01,1.00000000e-04,1.03028037e+03,2.77777778e+01,5.02654825e-06,3.82131954e+04,4.78859756e-08,drag-important
