Ha,cells_per_half_width,cell_size_over_a,delta_H_over_a,cells_per_Hartmann_layer,resolution_label,alpha_eff_a2_over_nu,closure_recommended
1.00000000e+00,4,2.50000000e-01,1.00000000e+00,4.00000000e+00,marginal,4.19452805e+00,True
1.05361130e+00,4,2.50000000e-01,9.49116623e-01,3.79646649e+00,underresolved,4.32540418e+00,True
1.11009677e+00,4,2.50000000e-01,9.00822364e-01,3.60328946e+00,underresolved,4.47054884e+00,True
1.16961051e+00,4,2.50000000e-01,8.54985480e-01,3.41994192e+00,underresolved,4.63150293e+00,True
1.23231485e+00,4,2.50000000e-01,8.11480932e-01,3.24592373e+00,underresolved,4.80997090e+00,True
1.29838085e+00,4,2.50000000e-01,7.70190042e-01,3.08076017e+00,underresolved,5.00783767e+00,True
1.36798874e+00,4,2.50000000e-01,7.31000171e-01,2.92400069e+00,underresolved,5.22718711e+00,True
1.44132839e+00,4,2.50000000e-01,6.93804414e-01,2.77521766e+00,underresolved,5.47032255e+00,True
1.51859988e+00,4,2.50000000e-01,6.58501303e-01,2.63400521e+00,underresolved,5.73978915e+00,True
1.60001400e+00,4,2.50000000e-01,6.24994533e-01,2.49997813e+00,underresolved,6.03839867e+00,True
1.68579283e+00,4,2.50000000e-01,5.93192700e-01,2.37277080e+00,underresolved,6.36925666e+00,True
1.77617038e+00,4,2.50000000e-01,5.63009052e-01,2.25203621e+00,underresolved,6.73579245e+00,True
1.87139318e+00,4,2.50000000e-01,5.34361251e-01,2.13744500e+00,underresolved,7.14179222e+00,True
1.97172100e+00,4,2.50000000e-01,5.07171146e-01,2.02868458e+00,underresolved,7.59143552e+00,True
2.07742753e+00,4,2.50000000e-01,4.81364565e-01,1.92545826e+00,underresolved,8.08933567e+00,True
2.18880112e+00,4,2.50000000e-01,4.56871110e-01,1.82748444e+00,underresolved,8.64058452e+00,True
2.30614560e+00,4,2.50000000e-01,4.33623965e-01,1.73449586e+00,underresolved,9.25080202e+00,True
