x,z,u_x,u_y,u_z,b_x,b_y,b_z,sigma,phi,target_jx,target_jy,target_jz
0.0000000000000000e+00,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,3.7500000000000033e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.9218749999999992e-03,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00
1.5625000000000000e-02,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,2.8644421808933264e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0039062500000000e+00,4.6911621093749991e-03,3.0854870626627314e-03,0.0000000000000000e+00,-0.0000000000000000e+00
3.1250000000000000e-02,0.0000000000000000e+00,-3.7500000000000033e-03,0.0000000000000000e+00,1.9866846175541622e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0078125000000000e+00,4.4677734374999993e-03,6.1635409167347614e-03,0.0000000000000000e+00,-0.0000000000000000e+00
4.6875000000000000e-02,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,1.1184693119843246e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0117187500000000e+00,4.2517089843749998e-03,9.2267462608759520e-03,0.0000000000000000e+00,-0.0000000000000000e+00
6.2500000000000000e-02,0.0000000000000000e+00,-3.7499999999999652e-03,0.0000000000000000e+00,2.6150266089669961e-04,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0156250000000000e+00,4.0429687499999988e-03,1.2267723565107169e-02,0.0000000000000000e+00,-0.0000000000000000e+00
7.8125000000000000e-02,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-5.8254822153119357e-04,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0195312500000000e+00,3.8415527343749994e-03,1.5279146848744365e-02,0.0000000000000000e+00,-0.0000000000000000e+00
9.3750000000000000e-02,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-1.4120590651792962e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0234375000000000e+00,3.6474609374999999e-03,1.8253761329327732e-02,0.0000000000000000e+00,-0.0000000000000000e+00
1.0937500000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-2.2254518825163411e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0273437500000000e+00,3.4606933593749997e-03,2.1184400900028089e-02,0.0000000000000000e+00,-0.0000000000000000e+00
1.2500000000000000e-01,0.0000000000000000e+00,-3.7500000000000068e-03,0.0000000000000000e+00,-3.0211982771941575e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0312500000000000e+00,3.2812499999999999e-03,2.4064005393425909e-02,0.0000000000000000e+00,-0.0000000000000000e+00
1.4062500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-3.7978226160931021e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0351562500000000e+00,3.1091308593749994e-03,2.6885637590073022e-02,0.0000000000000000e+00,-0.0000000000000000e+00
1.5625000000000000e-01,0.0000000000000000e+00,-3.7499999999999790e-03,0.0000000000000000e+00,-4.5539050585532460e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0390625000000000e+00,2.9443359374999993e-03,2.9642499930861932e-02,0.0000000000000000e+00,-0.0000000000000000e+00
1.7187500000000000e-01,0.0000000000000000e+00,-3.7499999999999999e-03,0.0000000000000000e+00,-5.2880844368847447e-03,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0429687500000000e+00,2.7868652343749994e-03,3.2327950892941028e-02,0.0000000000000000e+00,-0.0000000000000000e+00
