material,velocity,magnetic_field,re,ha,interaction,rm,feedback,classification
PbLi,0.01,0.5,2777.777777777778,540.7380704358751,105.26315789473684,0.000502654824574367,2.5132741228718346e-06,drag-important
PbLi,0.01,0.5193244124838053,2777.777777777778,561.6369614734748,113.5569875375367,0.000502654824574367,2.6104092145423334e-06,drag-important
PbLi,0.01,0.5393956908032993,2777.777777777778,583.3435700928039,122.50429947670251,0.000502654824574367,2.711298463369019e-06,drag-important
PbLi,0.01,0.5602427004454394,2777.777777777778,605.8891136293018,132.1565824852204,0.000502654824574367,2.81608696311472e-06,drag-important
PbLi,0.01,0.5818954225143368,2777.777777777778,629.3060159317416,142.56938220763726,0.000502654824574367,2.924925415245711e-06,drag-important
PbLi,0.01,0.6043849968485473,2777.777777777778,653.627953992552,153.80262080657621,0.000502654824574367,3.037970345662859e-06,drag-important
PbLi,0.01,0.6277437668047968,2777.777777777778,678.8899063803476,165.92094179464218,0.000502654824574367,3.1553843298091745e-06,drag-important
PbLi,0.01,0.652005325772544,2777.777777777778,705.1282035443193,178.99408203611,0.000502654824574367,3.2773362264775104e-06,drag-important
PbLi,0.01,0.6772045654862772,2777.777777777778,732.3805800628296,193.09727305914,0.000502654824574367,3.40400142065465e-06,drag-important
PbLi,0.01,0.7033777262050231,2777.777777777778,760.6862289113551,208.31167398793622,0.000502654824574367,3.5355620757510296e-06,drag-important
PbLi,0.01,0.7305624488312371,2777.777777777778,790.0858578278219,224.72483858622908,0.000502654824574367,3.672207395578854e-06,drag-important
PbLi,0.01,0.7587978290440246,2777.777777777778,820.6217478563939,242.4312190997578,0.000502654824574367,3.814133896455347e-06,drag-important
PbLi,0.01,0.7881244735245502,2777.777777777778,852.3378141539105,261.53270979719974,0.000502654824574367,3.96154568982248e-06,drag-important
PbLi,0.01,0.818584558354491,2777.777777777778,885.2796691464209,282.1392333374388,0.000502654824574367,4.1146547757896225e-06,drag-important
PbLi,0.01,0.8502218896715226,2777.777777777778,919.4946881266453,304.369373337522,0.000502654824574367,4.27368134802126e-06,drag-important
PbLi,0.01,0.8830819666690685,2777.777777777778,955.0320773866998,328.3510567815199,0.000502654824574367,4.4388541104082755e-06,drag-important
PbLi,0.01,0.9172120470309147,2777.777777777778,991.9429449840719,354.22229019732254,0.000502654824574367,4.610410605978204e-06,drag-important
PbLi,0.01,0.9526612148947965,2777.777777777778,1030.2803742426179,382.13195383782295,0.000502654824574367,4.788597558517472e-06,drag-important
PbLi,0.01,0.989480451442697,2777.777777777778,1070.0995000942853,412.2406584367341,0.000502654824574367,4.973671227396943e-06,drag-important
PbLi,0.01,1.0277227082193783,2777.777777777778,1111.4575883713571,444.72166946937824,0.000502654824574367,5.165897776111049e-06,drag-important
PbLi,0.01,1.067442983284588,2777.777777777778,1154.4141181632444,479.76190423726376,0.000502654824574367,5.365553655060535e-06,drag-important
PbLi,0.01,1.1086984003084581,2777.777777777778,1199.0308673562743,517.5630075143301,0.000502654824574367,5.572925999129292e-06,drag-important
PbLi,0.01,1.1515482907238497,2777.777777777778,1245.3720014794894,558.3425119448506,0.000502654824574367,5.788313040627087e-06,drag-important
PbLi,0.01,1.1960542790537871,2777.777777777778,1293.5041659842332,602.335089870684,0.000502654824574367,6.012024538192023e-06,drag-important
PbLi,0.01,1.2422803715366988,2777.777777777778,1343.4965820902332,649.7939037917298,0.000502654824574367,6.244382222269587e-06,drag-important
PbLi,0.01,1.290293048176919,2777.777777777778,1395.4211463360216,700.9920632310253,0.000502654824574367,6.485720257808944e-06,drag-important
PbLi,0.01,1.3401613583528338,2777.777777777778,1449.3525339768655,756.224196388258,0.000502654824574367,6.73638572484189e-06,drag-important
PbLi,0.01,1.3919570201201679,2777.777777777778,1505.3683063789003,815.8081456260284,0.000502654824574367,6.996739117635616e-06,drag-important
PbLi,0.01,1.4457545233532292,2777.777777777778,1563.549022563927,880.0867965458201,0.000502654824574367,7.267154863137149e-06,drag-important
PbLi,0.01,1.5016312368724398,2777.777777777778,1623.9783550652794,949.4300511793911,0.000502654824574367,7.5480218594550585e-06,drag-important
PbLi,0.01,1.5596675197122196,2777.777777777778,1686.743210261386,1024.2369566506388,0.000502654824574367,7.839744035152839e-06,drag-important
PbLi,0.01,1.6199468366892449,2777.777777777778,1751.9338533600842,1104.9380015576805,0.000502654824574367,8.14274093015833e-06,drag-important
PbLi,0.01,1.682555878437282,2777.777777777778,1819.6440382134297,1191.9975932900436,0.000502654824574367,8.457448299124618e-06,drag-important
PbLi,0.01,1.747584686081229,2777.777777777778,1889.9711421496968,1285.9167305371063,0.000502654824574367,8.784318738110103e-06,drag-important
PbLi,0.01,1.8151267807296594,2777.777777777778,1963.0163060164757,1387.235886367165,0.000502654824574367,9.123822335479024e-06,drag-important
PbLi,0.01,1.8852792979721031,2777.777777777778,2038.884579636273,1496.538118468289,0.000502654824574367,9.47644734795853e-06,drag-important
PbLi,0.01,1.958143127574487,2777.777777777778,2117.685072883796,1614.4524244493446,0.000502654824574367,9.84270090282456e-06,drag-important
PbLi,0.01,2.0338230585736428,2777.777777777778,2199.531112602203,1741.6573615098305,0.000502654824574367,1.022310972722637e-05,drag-important
PbLi,0.01,2.1124279299795465,2777.777777777778,2284.54040558398,1878.8849513084933,0.000502654824574367,1.0618220905698623e-05,drag-important
PbLi,0.01,2.1940707873020178,2777.777777777778,2372.835207850829,2026.9248925019353,0.000502654824574367,1.1028602666950389e-05,drag-important
PbLi,0.01,2.278869045127002,2777.777777777778,2464.542500476041,2186.62910519497,0.000502654824574367,1.1454845201062681e-05,drag-important
PbLi,0.01,2.3669446559762215,2777.777777777778,2559.794172202177,2358.916633454482,0.000502654824574367,1.189756150826963e-05,drag-important
PbLi,0.01,2.4584242856930683,2777.777777777778,2658.727209116729,2544.7789340991467,0.000502654824574367,1.2357388280544124e-05,drag-important
PbLi,0.01,2.553439495606943,2777.777777777778,2761.4838916585054,2745.285582200185,0.000502654824574367,1.283498681725568e-05,drag-important
PbLi,0.01,2.6521269317380396,2777.777777777778,2868.211999238091,2961.5904261264122,0.000502654824574367,1.3331043976217384e-05,drag-important
