material,electron_density,electron_temperature_ev,ion_current_density,net_current_density,ohmic_heat_flux,plasma_heat_flux,retained_heat_flux,delta_b,feedback,classification,semi_infinite_delta_t
Li,1e+18,2.0,1562.788260894884,31.25576521789768,6.10576787097714e-06,21879.03565252838,21879.035658634148,3.9277152956349897e-07,7.85543059126998e-08,weak-feedback,0.24092872696681364
Li,1.0600258488068824e+18,2.0,1656.5959527605312,33.13191905521062,6.860775376756431e-06,23192.343338647435,23192.343345508212,4.163479740127255e-07,8.32695948025451e-08,weak-feedback,0.2553906783092364
Li,1.1236548001387516e+18,2.0,1756.034530955028,35.120690619100564,7.709143184766115e-06,24584.483433370395,24584.483441079537,4.4133961455186524e-07,8.826792291037305e-08,weak-feedback,0.27072072055692087
Li,1.191103133283008e+18,2.0,1861.4419942097993,37.228839884195985,8.662415744519387e-06,26060.18791893719,26060.187927599607,4.6783139952744315e-07,9.356627990548863e-08,weak-feedback,0.2869709616033625
Li,1.2626001098748577e+18,2.0,1973.1766299170183,39.463532598340365,9.733565032126705e-06,27624.472818838258,27624.472828571823,4.959133763825897e-07,9.918267527651794e-08,weak-feedback,0.3041966371626011
Li,1.3383887531737592e+18,2.0,2091.6182319736918,41.83236463947384,1.0937167070811882e-05,29282.655247631683,29282.65525856885,5.256809977346418e-07,1.0513619954692837e-07,weak-feedback,0.3224562985193056
Li,1.418726674116599e+18,2.0,2217.1693917278626,44.343387834557255,1.2289600279037252e-05,31040.371484190076,31040.371496479678,5.572354458253123e-07,1.1144708916506247e-07,weak-feedback,0.34181201154871566
Li,1.5038869469554132e+18,2.0,2350.256866414967,47.00513732829934,1.3809268345326751e-05,32903.59612980954,32903.59614361881,5.906839764462583e-07,1.1813679528925166e-07,weak-feedback,0.36232956768292623
Li,1.5941590374560028e+18,2.0,2491.3330297357293,49.82666059471459,1.5516850662630524e-05,34878.662416300205,34878.66243181706,6.261402835090696e-07,1.2522805670181392e-07,weak-feedback,0.3840787075406004
Li,1.689849786812462e+18,2.0,2640.877409506238,52.81754819012476,1.7435583730100946e-05,36972.28373308734,36972.28375052292,6.637248854988834e-07,1.3274497709977668e-07,weak-feedback,0.4071333579802475
Li,1.7912844546220096e+18,2.0,2799.3983176067713,55.98796635213543,1.9591577351549056e-05,39191.5764464948,39191.57646608638,7.035655351252048e-07,1.4071310702504096e-07,weak-feedback,0.43157188338282493
Li,1.898807824465269e+18,2.0,2967.4345777696763,59.34869155539353,2.2014169933357746e-05,41544.08408877547,41544.084110789634,7.457976535623636e-07,1.4915953071247272e-07,weak-feedback,0.45747735201779105
Li,2.0127853758499466e+18,2.0,3145.557357079194,62.91114714158388,2.473632771668761e-05,44037.80299910872,44037.803023845045,7.905647907556259e-07,1.5811295815112517e-07,weak-feedback,0.48493781839800865
Li,2.133604526501402e+18,2.0,3334.372107408579,66.68744214817158,2.7795093376660822e-05,46681.20950372011,46681.209531515204,8.380191133575608e-07,1.6760382267151217e-07,weak-feedback,0.5140466225832349
Li,2.2616759492228552e+18,2.0,3534.520623393772,70.69041246787545,3.123209009298975e-05,49483.2887275128,49483.28875874489,8.883219219532393e-07,1.7766438439064785e-07,weak-feedback,0.5449027074495798
Li,2.3974349678010685e+18,2.0,3746.6832239384144,74.93366447876829,3.5094087951353875e-05,52453.565135137804,52453.565170231894,9.416441993322436e-07,1.8832883986644873e-07,weak-feedback,0.5776109550032927
Li,2.541343036702629e+18,2.0,3971.5810646658247,79.4316212933165,3.9433640383030315e-05,55602.134905321545,55602.134944755184,9.981671916712388e-07,1.9963343833424775e-07,weak-feedback,0.6122825428821088
Li,2.693889309590164e+18,2.0,4209.978589177733,84.19957178355466,4.4309799303337336e-05,58939.700248488254,58939.70029279805,1.058083024602487e-06,2.116166049204974e-07,weak-feedback,0.6490353222558738
Li,2.8555923019901005e+18,2.0,4462.686127451928,89.25372254903856,4.978891868037971e-05,62477.60578432699,62477.60583411591,1.121595356262405e-06,2.24319071252481e-07,weak-feedback,0.6879942184109779
Li,3.0270016537634555e+18,2.0,4730.562650210929,94.61125300421858,5.594555746892662e-05,66227.877102953,66227.87715889855,1.1889200695399134e-06,2.3778401390798269e-07,weak-feedback,0.7292916553802101
Li,3.208699997370444e+18,2.0,5014.518688623975,100.29037377247951,6.286349419639779e-05,70203.26164073565,70203.26170359914,1.2602860058775843e-06,2.520572011755169e-07,weak-feedback,0.7730680060613833
Li,3.401304938279246e+18,2.0,5315.519429266604,106.31038858533208,7.06368670072769e-05,74417.27200973245,74417.27208036932,1.3359357431198219e-06,2.6718714862396436e-07,weak-feedback,0.8194720693547086
Li,3.6054711542504986e+18,2.0,5634.587994857807,112.69175989715613,7.93714546794893e-05,78884.2319280093,78884.23200738076,1.4161264200520423e-06,2.8322528401040847e-07,weak-feedback,0.8686615759407508
Li,3.821892620633115e+18,2.0,5972.8089219262165,119.45617843852433,8.918611604460354e-05,83619.32490696704,83619.32499615315,1.501130610433518e-06,3.002261220867036e-07,weak-feedback,0.920803724418132
