material,electron_density,electron_temperature_ev,heat_flux,surface_delta_t,surface_temperature_gradient,marangoni_shear,surface_velocity,mean_velocity
Li,1e+18,2.0,21879.03565252838,0.24092872689957784,12.046436344978892,-0.0012046436344978892,-0.005353971708879507,-0.0026769858544397535
Li,1.0600258488068824e+18,2.0,23192.343338647435,0.2553906782336865,12.769533911684325,-0.0012769533911684327,-0.005675348405193035,-0.0028376742025965174
Li,1.1236548001387516e+18,2.0,24584.483433370395,0.27072072047202894,13.536036023601447,-0.0013536036023601447,-0.006016016010489533,-0.0030080080052447664
Li,1.191103133283008e+18,2.0,26060.18791893719,0.28697096150797324,14.348548075398663,-0.0014348548075398663,-0.006377132477954962,-0.003188566238977481
Li,1.2626001098748577e+18,2.0,27624.472818838258,0.3041966370554165,15.209831852770824,-0.0015209831852770826,-0.0067599252678981455,-0.0033799626339490727
Li,1.3383887531737592e+18,2.0,29282.655247631683,0.3224562983988671,16.122814919943355,-0.0016122814919943356,-0.007165695519974825,-0.0035828477599874125
Li,1.418726674116599e+18,2.0,31040.371484190076,0.34181201141338435,17.090600570669217,-0.0017090600570669218,-0.007595822475852987,-0.0037979112379264933
Li,1.5038869469554132e+18,2.0,32903.59612980954,0.36232956753086065,18.116478376543032,-0.0018116478376543033,-0.00805176816735246,-0.00402588408367623
Li,1.5941590374560028e+18,2.0,34878.662416300205,0.3840787073697311,19.203935368486555,-0.0019203935368486556,-0.008535082385994024,-0.004267541192997012
Li,1.689849786812462e+18,2.0,36972.28373308734,0.4071333577882495,20.356667889412474,-0.0020356667889412476,-0.00904740795084999,-0.004523703975424995
Li,1.7912844546220096e+18,2.0,39191.5764464948,0.43157188316708534,21.578594158354267,-0.0021578594158354267,-0.009590486292601898,-0.004795243146300949
Li,1.898807824465269e+18,2.0,41544.08408877547,0.4574773517753743,22.873867588768714,-0.0022873867588768717,-0.010166163372786096,-0.005083081686393048
Li,2.0127853758499466e+18,2.0,44037.80299910872,0.4849378181256159,24.246890906280797,-0.00242468909062808,-0.010776395958347023,-0.005388197979173511
Li,2.133604526501402e+18,2.0,46681.20950372011,0.5140466222771594,25.702331113857966,-0.0025702331113857967,-0.011423258272825764,-0.005711629136412882
Li,2.2616759492228552e+18,2.0,49483.2887275128,0.5449027071056566,27.24513535528283,-0.002724513535528283,-0.012108949046792371,-0.0060544745233961856
Li,2.3974349678010685e+18,2.0,52453.565135137804,0.5776109546168418,28.880547730842085,-0.0028880547730842088,-0.012835798991485372,-0.006417899495742686
Li,2.541343036702629e+18,2.0,55602.134905321545,0.6122825424478714,30.61412712239357,-0.0030614127122393572,-0.01360627872106381,-0.006803139360531905
Li,2.693889309590164e+18,2.0,58939.700248488254,0.6490353217679409,32.451766088397044,-0.0032451766088397046,-0.014423007150398688,-0.007211503575199344
Li,2.8555923019901005e+18,2.0,62477.60578432699,0.6879942178627095,34.39971089313548,-0.003439971089313548,-0.015288760396949102,-0.007644380198474551
Li,3.0270016537634555e+18,2.0,66227.877102953,0.7292916547641459,36.4645827382073,-0.00364645827382073,-0.01620648121698102,-0.00810324060849051
Li,3.208699997370444e+18,2.0,70203.26164073565,0.7730680053691397,38.653400268456984,-0.0038653400268456985,-0.017179289008203105,-0.008589644504101553
Li,3.401304938279246e+18,2.0,74417.27200973245,0.8194720685768657,40.97360342884328,-0.004097360342884328,-0.018210490412819236,-0.009105245206409618
Li,3.6054711542504986e+18,2.0,78884.2319280093,0.8686615750667239,43.4330787533362,-0.00434330787533362,-0.019303590557038314,-0.009651795278519157
Li,3.821892620633115e+18,2.0,83619.32490696704,0.9208037234360275,46.04018617180137,-0.004604018617180137,-0.020462304965245055,-0.010231152482622527
Li,4.051304969235378e+18,2.0,88638.64586116622,0.9760757485198129,48.80378742599065,-0.004880378742599065,-0.02169057218932918,-0.01084528609466459
