material,electron_density,electron_temperature_ev,heat_flux,retained_heat_flux,semi_infinite_delta_t,lumped_delta_t,thermal_regime
Li,1e+18,2.0,21879.03565252838,21879.03565252838,0.24092872689957784,0.052092942029829475,transient-slab
Li,1.0600258488068824e+18,2.0,23192.343338647435,23192.343338647435,0.2553906782336865,0.055219865092017706,transient-slab
Li,1.1236548001387516e+18,2.0,24584.483433370395,24584.483433370395,0.27072072047202894,0.0585344843651676,transient-slab
Li,1.191103133283008e+18,2.0,26060.18791893719,26060.18791893719,0.28697096150797324,0.06204806647365998,transient-slab
Li,1.2626001098748577e+18,2.0,27624.472818838258,27624.472818838258,0.3041966370554165,0.06577255433056728,transient-slab
Li,1.3383887531737592e+18,2.0,29282.655247631683,29282.655247631683,0.3224562983988671,0.06972060773245639,transient-slab
Li,1.418726674116599e+18,2.0,31040.371484190076,31040.371484190076,0.34181201141338435,0.07390564639092875,transient-slab
Li,1.5038869469554132e+18,2.0,32903.59612980954,32903.59612980954,0.36232956753086065,0.07834189554716559,transient-slab
Li,1.5941590374560028e+18,2.0,34878.662416300205,34878.662416300205,0.3840787073697311,0.0830444343245243,transient-slab
Li,1.689849786812462e+18,2.0,36972.28373308734,36972.28373308734,0.4071333577882495,0.08802924698354128,transient-slab
Li,1.7912844546220096e+18,2.0,39191.5764464948,39191.5764464948,0.43157188316708534,0.09331327725355906,transient-slab
Li,1.898807824465269e+18,2.0,41544.08408877547,41544.08408877547,0.4574773517753743,0.09891448592565588,transient-slab
Li,2.0127853758499466e+18,2.0,44037.80299910872,44037.80299910872,0.4849378181256159,0.10485191190263982,transient-slab
Li,2.133604526501402e+18,2.0,46681.20950372011,46681.20950372011,0.5140466222771594,0.1111457369136193,transient-slab
Li,2.2616759492228552e+18,2.0,49483.2887275128,49483.2887275128,0.5449027071056566,0.11781735411312572,transient-slab
Li,2.3974349678010685e+18,2.0,52453.565135137804,52453.565135137804,0.5776109546168418,0.12488944079794716,transient-slab
Li,2.541343036702629e+18,2.0,55602.134905321545,55602.134905321545,0.6122825424478714,0.13238603548886083,transient-slab
Li,2.693889309590164e+18,2.0,58939.700248488254,58939.700248488254,0.6490353217679409,0.14033261963925775,transient-slab
Li,2.8555923019901005e+18,2.0,62477.60578432699,62477.60578432699,0.6879942178627095,0.14875620424839758,transient-slab
Li,3.0270016537634555e+18,2.0,66227.877102953,66227.877102953,0.7292916547641459,0.15768542167369762,transient-slab
Li,3.208699997370444e+18,2.0,70203.26164073565,70203.26164073565,0.7730680053691397,0.16715062295413252,transient-slab
Li,3.401304938279246e+18,2.0,74417.27200973245,74417.27200973245,0.8194720685768657,0.17718398097555346,transient-slab
Li,3.6054711542504986e+18,2.0,78884.2319280093,78884.2319280093,0.8686615750667239,0.1878195998285936,transient-slab
Li,3.821892620633115e+18,2.0,83619.32490696704,83619.32490696704,0.9208037234360275,0.1990936307308739,transient-slab
Li,4.051304969235378e+18,2.0,88638.64586116622,88638.64586116622,0.9760757485198129,0.21104439490753865,transient-slab
Li,4.294487988789272e+18,2.0,93959.25581607537,93959.25581607537,1.0346655238245277,0.2237125138477985,transient-slab
