y,ux
-1.000000000000000000e+00,0.000000000000000000e+00
-9.875000000000000444e-01,1.238295514800000089e-04
-9.749999999999999778e-01,2.435994806559999698e-04
-9.625000000000000222e-01,3.611500661225000228e-04
-9.499999999999999556e-01,4.748315452800000208e-04
-9.375000000000000000e-01,5.863975995625000199e-04
-9.250000000000000444e-01,6.942753679420000587e-04
-9.124999999999999778e-01,8.001363379349999815e-04
-9.000000000000000222e-01,9.024806013880001549e-04
-8.874999999999999556e-01,1.002901640099999967e-03
-8.750000000000000000e-01,1.099968743319999949e-03
-8.625000000000000444e-01,1.195201379449999969e-03
-8.499999999999999778e-01,1.287234448920000079e-03
-8.375000000000000222e-01,1.377517214499999771e-03
-8.249999999999999556e-01,1.464746767459999908e-03
-8.125000000000000000e-01,1.550305796125000211e-03
-8.000000000000000444e-01,1.632950317840000179e-03
-7.874999999999999778e-01,1.713999911275000025e-03
-7.750000000000000222e-01,1.792266402360000177e-03
-7.624999999999999556e-01,1.869009566799999982e-03
-7.500000000000000000e-01,1.943094061519999843e-03
-7.375000000000000444e-01,2.015723016474999831e-03
-7.249999999999999778e-01,2.085811074040000174e-03
-7.125000000000000222e-01,2.154507733350000034e-03
-6.999999999999999556e-01,2.220774902759999579e-03
-6.875000000000000000e-01,2.285711330799999972e-03
-6.750000000000000444e-01,2.348323590219999861e-03
-6.624999999999999778e-01,2.409662432749999812e-03
-6.500000000000000222e-01,2.468776605660000234e-03
-6.374999999999999556e-01,2.526671497150000285e-03
-6.250000000000000000e-01,2.582435645239999997e-03
-6.125000000000000444e-01,2.637031593900000109e-03
-5.999999999999999778e-01,2.689585387799999991e-03
-5.875000000000000222e-01,2.741019138800000060e-03
-5.749999999999999556e-01,2.790494207940000422e-03
-5.625000000000000000e-01,2.838894585800000314e-03
-5.500000000000000444e-01,2.885414848039999976e-03
-5.374999999999999778e-01,2.930903079400000357e-03
-5.250000000000000222e-01,2.974585051580000330e-03
-5.124999999999999556e-01,3.017275068800000237e-03
-5.000000000000000000e-01,3.058228158379999728e-03
-4.874999999999999889e-01,3.098226884949999496e-03
-4.749999999999999778e-01,3.136553664399999684e-03
