y,u_analytic_norm,u_mhdfoam_norm,u_mug_norm
-9.990280e-01,2.106673e-03,2.102741e-03,
-9.969814e-01,6.533294e-03,6.518808e-03,
-9.947190e-01,1.141303e-02,1.138707e-02,
-9.922177e-01,1.679127e-02,1.675215e-02,
-9.894527e-01,2.271574e-02,2.266280e-02,
-9.863958e-01,2.924048e-02,2.917213e-02,
-9.830164e-01,3.642297e-02,3.633774e-02,
-9.792804e-01,4.432605e-02,4.422227e-02,
-9.751502e-01,5.301740e-02,5.289341e-02,
-9.705842e-01,6.257028e-02,6.242425e-02,
-9.655366e-01,7.306334e-02,7.289368e-02,
-9.599563e-01,8.458138e-02,8.438565e-02,
-9.537873e-01,9.721469e-02,9.699031e-02,
-9.469671e-01,1.110595e-01,1.108047e-01,
-9.394275e-01,1.262167e-01,1.259285e-01,
-9.310925e-01,1.427929e-01,1.424690e-01,
-9.218780e-01,1.608994e-01,1.605374e-01,
-9.116912e-01,1.806513e-01,1.802476e-01,
-9.004295e-01,2.021652e-01,2.017179e-01,
-8.879797e-01,2.255585e-01,2.250648e-01,
-8.742163e-01,2.509473e-01,2.504044e-01,
-8.590007e-01,2.784426e-01,2.778479e-01,
-8.421797e-01,3.081470e-01,3.074992e-01,
-8.235838e-01,3.401496e-01,3.394464e-01,
-8.030257e-01,3.745204e-01,3.737608e-01,
-7.802987e-01,4.113016e-01,4.104858e-01,
-7.551736e-01,4.504999e-01,4.496282e-01,
-7.273976e-01,4.920739e-01,4.911494e-01,
-6.966909e-01,5.359204e-01,5.349461e-01,
-6.627442e-01,5.818582e-01,5.808406e-01,
-6.252158e-01,6.296060e-01,6.285549e-01,
-5.837277e-01,6.787584e-01,6.776851e-01,
-5.378621e-01,7.287549e-01,7.276749e-01,
-4.871571e-01,7.788424e-01,7.777801e-01,
-4.311022e-01,8.280282e-01,8.270100e-01,
-3.691328e-01,8.750221e-01,8.740891e-01,
-3.006250e-01,9.181623e-01,9.173553e-01,
-2.248887e-01,9.553182e-01,9.546984e-01,
-1.411615e-01,9.837634e-01,9.834046e-01,
-4.859997e-02,1.000000e+00,1.000000e+00,
4.859997e-02,1.000000e+00,1.000000e+00,
1.411615e-01,9.837634e-01,9.834046e-01,
2.248887e-01,9.553182e-01,9.546984e-01,
3.006250e-01,9.181622e-01,9.173553e-01,
3.691328e-01,8.750221e-01,8.740891e-01,
4.311022e-01,8.280282e-01,8.270100e-01,
4.871571e-01,7.788424e-01,7.777801e-01,
5.378621e-01,7.287549e-01,7.276749e-01,
5.837277e-01,6.787584e-01,6.776857e-01,
6.252158e-01,6.296060e-01,6.285549e-01,
6.627442e-01,5.818582e-01,5.808413e-01,
6.966908e-01,5.359206e-01,5.349467e-01,
7.273976e-01,4.920739e-01,4.911494e-01,
7.551737e-01,4.504998e-01,4.496289e-01,
7.802987e-01,4.113017e-01,4.104865e-01,
8.030258e-01,3.745203e-01,3.737615e-01,
8.235838e-01,3.401496e-01,3.394471e-01,
8.421797e-01,3.081469e-01,3.074998e-01,
8.590007e-01,2.784426e-01,2.778486e-01,
8.742163e-01,2.509473e-01,2.504050e-01,
8.879797e-01,2.255585e-01,2.250648e-01,
9.004295e-01,2.021652e-01,2.017179e-01,
9.116912e-01,1.806513e-01,1.802483e-01,
9.218780e-01,1.608994e-01,1.605374e-01,
9.310925e-01,1.427929e-01,1.424690e-01,
9.394275e-01,1.262167e-01,1.259285e-01,
9.469672e-01,1.110592e-01,1.108047e-01,
9.537873e-01,9.721469e-02,9.699098e-02,
9.599563e-01,8.458138e-02,8.438565e-02,
9.655366e-01,7.306334e-02,7.289368e-02,
9.705842e-01,6.257028e-02,6.242432e-02,
9.751502e-01,5.301740e-02,5.289348e-02,
9.792804e-01,4.432605e-02,4.422234e-02,
9.830164e-01,3.642297e-02,3.633781e-02,
9.863958e-01,2.924048e-02,2.917213e-02,
9.894526e-01,2.271586e-02,2.266280e-02,
9.922178e-01,1.679101e-02,1.675215e-02,
9.947189e-01,1.141329e-02,1.138707e-02,
9.969814e-01,6.533294e-03,6.518821e-03,
9.990280e-01,2.106673e-03,2.102748e-03,
